Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
Other,18519,18519,2017,44634,"Spotswood Primary School, Spotswood, VIC",
Total capital expenditure,65104,82453,2017,44634,"Spotswood Primary School, Spotswood, VIC",
Australian government capital expenditure,10822,129771,2016,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,25646,167976,2016,45475,"University High School, Parkville, VIC",
New school loans,0,0,2016,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2016,45475,"University High School, Parkville, VIC",
Other,53232,356261,2016,45475,"University High School, Parkville, VIC",
Total capital expenditure,89700,654008,2016,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,6191,19974,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC",
State / territory government capital expenditure,8196,28196,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC",
New school loans,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Income allocated to current capital projects,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Other,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Total capital expenditure,14387,48170,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Australian government capital expenditure,13409,34681,2017,44693,"Kingsville Primary School, Yarraville, VIC",
State / territory government capital expenditure,83670,121979,2017,44693,"Kingsville Primary School, Yarraville, VIC",
New school loans,0,0,2017,44693,"Kingsville Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2017,44693,"Kingsville Primary School, Yarraville, VIC",
Other,5055,25055,2017,44693,"Kingsville Primary School, Yarraville, VIC",
Total capital expenditure,102134,181715,2017,44693,"Kingsville Primary School, Yarraville, VIC",
Australian government capital expenditure,18773,55163,2014,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,13020,61760,2014,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2014,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2014,44461,"Kensington Primary School, Kensington, VIC",
Other,14154,27933,2014,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,45947,144856,2014,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,128511,371994,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
State / territory government capital expenditure,386708,728598,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
New school loans,0,0,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Income allocated to current capital projects,0,0,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Other,8800,8800,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Total capital expenditure,524019,1109392,2018,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Australian government capital expenditure,21930,61211,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,51968,99831,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,5045,15220,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,78943,176262,2016,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,64150,98247,2016,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,152016,182210,2016,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2016,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2016,44664,"Footscray West Primary School, West Footscray, VIC",
Other,0,19548,2016,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,216166,300005,2016,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,0,0,2016,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2016,45797,"St John's School, Footscray, VIC",
New school loans,0,0,2016,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,132564,388769,2016,45797,"St John's School, Footscray, VIC",
Other,25835,163520,2016,45797,"St John's School, Footscray, VIC",
Total capital expenditure,158399,552289,2016,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,11358,462786,2016,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,26914,537042,2016,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2016,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2016,44044,"Newport Lakes Primary School, Newport, VIC",
Other,6783,6783,2016,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,45055,1006611,2016,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,14452,113331,2021,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,57056,428908,2021,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2021,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2021,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2021,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,71508,542239,2021,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,768630,821041,2019,45517,"Fitzroy High School, Fitzroy North, VIC",
State / territory government capital expenditure,2404117,2603525,2019,45517,"Fitzroy High School, Fitzroy North, VIC",
New school loans,0,0,2019,45517,"Fitzroy High School, Fitzroy North, VIC",
Income allocated to current capital projects,0,0,2019,45517,"Fitzroy High School, Fitzroy North, VIC",
Other,19337,42400,2019,45517,"Fitzroy High School, Fitzroy North, VIC",
Total capital expenditure,3192084,3466966,2019,45517,"Fitzroy High School, Fitzroy North, VIC",
Australian government capital expenditure,12214,50183,2020,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,49886,166744,2020,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2020,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2020,50217,"Newport Gardens Primary School, Newport, VIC",
Other,0,12590,2020,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,62100,229517,2020,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,8787,118315,2020,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,35888,375557,2020,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2020,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2020,44224,"Albert Park Primary School, Albert Park, VIC",
Other,5915,33340,2020,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,50590,527212,2020,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,12186,987619,2020,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,49773,2993531,2020,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2020,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2020,44044,"Newport Lakes Primary School, Newport, VIC",
Other,0,27422,2020,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,61959,4008572,2020,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,22753,32020,2018,44378,"Footscray City Primary School, Footscray, VIC",
State / territory government capital expenditure,68468,126290,2018,44378,"Footscray City Primary School, Footscray, VIC",
New school loans,0,0,2018,44378,"Footscray City Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2018,44378,"Footscray City Primary School, Footscray, VIC",
Other,20864,20864,2018,44378,"Footscray City Primary School, Footscray, VIC",
Total capital expenditure,112085,179174,2018,44378,"Footscray City Primary School, Footscray, VIC",
Australian government capital expenditure,9704,258457,2022,52698,"Prahran High School, Windsor, VIC",
State / territory government capital expenditure,37248,1023646,2022,52698,"Prahran High School, Windsor, VIC",
New school loans,0,0,2022,52698,"Prahran High School, Windsor, VIC",
Income allocated to current capital projects,0,0,2022,52698,"Prahran High School, Windsor, VIC",
Other,0,0,2022,52698,"Prahran High School, Windsor, VIC",
Total capital expenditure,46952,1282103,2022,52698,"Prahran High School, Windsor, VIC",
Australian government capital expenditure,0,0,2020,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2020,45797,"St John's School, Footscray, VIC",
New school loans,0,0,2020,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,201782,565673,2020,45797,"St John's School, Footscray, VIC",
Other,315140,937338,2020,45797,"St John's School, Footscray, VIC",
Total capital expenditure,516922,1503011,2020,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,13633,115697,2018,44714,"Footscray North Primary School, Footscray, VIC",
State / territory government capital expenditure,41024,441318,2018,44714,"Footscray North Primary School, Footscray, VIC",
New school loans,0,0,2018,44714,"Footscray North Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2018,44714,"Footscray North Primary School, Footscray, VIC",
Other,0,15530,2018,44714,"Footscray North Primary School, Footscray, VIC",
Total capital expenditure,54657,572545,2018,44714,"Footscray North Primary School, Footscray, VIC",
Australian government capital expenditure,87777,804784,2020,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,358515,2518479,2020,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2020,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2020,44664,"Footscray West Primary School, West Footscray, VIC",
Other,0,0,2020,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,446292,3323263,2020,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,27175,49478,2018,44843,"Wembley Primary School, Yarraville, VIC",
State / territory government capital expenditure,81774,194324,2018,44843,"Wembley Primary School, Yarraville, VIC",
New school loans,0,0,2018,44843,"Wembley Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2018,44843,"Wembley Primary School, Yarraville, VIC",
Other,0,13886,2018,44843,"Wembley Primary School, Yarraville, VIC",
Total capital expenditure,108949,257688,2018,44843,"Wembley Primary School, Yarraville, VIC",
Australian government capital expenditure,617855,935828,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
State / territory government capital expenditure,1859218,3663677,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
New school loans,0,0,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Income allocated to current capital projects,0,0,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Other,0,11000,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Total capital expenditure,2477073,4610505,2018,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Australian government capital expenditure,99845,184745,2020,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,407804,666376,2020,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2020,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2020,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,28060,63641,2020,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,535709,914762,2020,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,49521,93724,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC",
State / territory government capital expenditure,154892,349696,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC",
New school loans,0,0,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Income allocated to current capital projects,0,0,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Other,35701,45073,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Total capital expenditure,240114,488493,2019,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Australian government capital expenditure,40529,556140,2016,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,96042,682882,2016,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2016,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2016,44224,"Albert Park Primary School, Albert Park, VIC",
Other,14165,30810,2016,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,150736,1269832,2016,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,136865,474489,2016,50217,"Newport Gardens Primary School, Newport, VIC",
State / territory government capital expenditure,324329,731446,2016,50217,"Newport Gardens Primary School, Newport, VIC",
New school loans,0,0,2016,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2016,50217,"Newport Gardens Primary School, Newport, VIC",
Other,11640,82526,2016,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,472834,1288461,2016,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,16474,150119,2018,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,49572,868157,2018,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2018,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2018,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2018,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,66046,1018276,2018,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,188272,5175507,2022,52703,"Richmond High School, Richmond, VIC",
State / territory government capital expenditure,722665,20415539,2022,52703,"Richmond High School, Richmond, VIC",
New school loans,0,0,2022,52703,"Richmond High School, Richmond, VIC",
Income allocated to current capital projects,0,0,2022,52703,"Richmond High School, Richmond, VIC",
Other,0,0,2022,52703,"Richmond High School, Richmond, VIC",
Total capital expenditure,910937,25591046,2022,52703,"Richmond High School, Richmond, VIC",
Australian government capital expenditure,129690,142146,2017,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,809213,829838,2017,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2017,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2017,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2017,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,938903,971984,2017,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,61885,289944,2021,44634,"Spotswood Primary School, Spotswood, VIC",
State / territory government capital expenditure,244311,968308,2021,44634,"Spotswood Primary School, Spotswood, VIC",
New school loans,0,0,2021,44634,"Spotswood Primary School, Spotswood, VIC",
Income allocated to current capital projects,0,0,2021,44634,"Spotswood Primary School, Spotswood, VIC",
Other,0,6940,2021,44634,"Spotswood Primary School, Spotswood, VIC",
Total capital expenditure,306196,1265192,2021,44634,"Spotswood Primary School, Spotswood, VIC",
Australian government capital expenditure,654825,863136,2021,44919,"Altona North Primary School, Altona North, VIC",
State / territory government capital expenditure,2585135,3414625,2021,44919,"Altona North Primary School, Altona North, VIC",
New school loans,0,0,2021,44919,"Altona North Primary School, Altona North, VIC",
Income allocated to current capital projects,0,0,2021,44919,"Altona North Primary School, Altona North, VIC",
Other,0,8060,2021,44919,"Altona North Primary School, Altona North, VIC",
Total capital expenditure,3239960,4285821,2021,44919,"Altona North Primary School, Altona North, VIC",
Australian government capital expenditure,411134,1426845,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
State / territory government capital expenditure,27088,341374,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
New school loans,0,0,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Income allocated to current capital projects,0,0,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Other,7200,91479,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Total capital expenditure,445422,1859699,2014,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Australian government capital expenditure,130753,157374,2022,44843,"Wembley Primary School, Yarraville, VIC",
State / territory government capital expenditure,501884,608527,2022,44843,"Wembley Primary School, Yarraville, VIC",
New school loans,0,0,2022,44843,"Wembley Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2022,44843,"Wembley Primary School, Yarraville, VIC",
Other,13200,13200,2022,44843,"Wembley Primary School, Yarraville, VIC",
Total capital expenditure,645837,779101,2022,44843,"Wembley Primary School, Yarraville, VIC",
Australian government capital expenditure,136083,298042,2022,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
State / territory government capital expenditure,522343,1172789,2022,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
New school loans,0,0,2022,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Income allocated to current capital projects,0,0,2022,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Other,45148,51658,2022,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Total capital expenditure,703574,1522489,2022,44558,"Ocean Grove Primary School, Ocean Grove, VIC",
Australian government capital expenditure,1471229,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
State / territory government capital expenditure,5808156,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
New school loans,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Income allocated to current capital projects,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Other,0,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Total capital expenditure,7279385,0,2021,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Australian government capital expenditure,79208,182500,2021,45538,"Bayside P-12 College, Williamstown, VIC",
State / territory government capital expenditure,312698,734583,2021,45538,"Bayside P-12 College, Williamstown, VIC",
New school loans,0,0,2021,45538,"Bayside P-12 College, Williamstown, VIC",
Income allocated to current capital projects,0,0,2021,45538,"Bayside P-12 College, Williamstown, VIC",
Other,8750,90861,2021,45538,"Bayside P-12 College, Williamstown, VIC",
Total capital expenditure,400656,1007944,2021,45538,"Bayside P-12 College, Williamstown, VIC",
Australian government capital expenditure,417422,3563552,2022,44714,"Footscray North Primary School, Footscray, VIC",
State / territory government capital expenditure,1602236,14056580,2022,44714,"Footscray North Primary School, Footscray, VIC",
New school loans,0,0,2022,44714,"Footscray North Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2022,44714,"Footscray North Primary School, Footscray, VIC",
Other,22570,105502,2022,44714,"Footscray North Primary School, Footscray, VIC",
Total capital expenditure,2042228,17725634,2022,44714,"Footscray North Primary School, Footscray, VIC",
Australian government capital expenditure,211852,237143,2022,44378,"Footscray City Primary School, Footscray, VIC",
State / territory government capital expenditure,813176,913022,2022,44378,"Footscray City Primary School, Footscray, VIC",
New school loans,0,0,2022,44378,"Footscray City Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2022,44378,"Footscray City Primary School, Footscray, VIC",
Other,0,14000,2022,44378,"Footscray City Primary School, Footscray, VIC",
Total capital expenditure,1025028,1164165,2022,44378,"Footscray City Primary School, Footscray, VIC",
Australian government capital expenditure,90616,170482,2022,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,347820,672055,2022,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2022,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2022,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2022,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,438436,842537,2022,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,6740536,0,2018,52703,"Richmond High School, Richmond, VIC",
State / territory government capital expenditure,20283293,0,2018,52703,"Richmond High School, Richmond, VIC",
New school loans,0,0,2018,52703,"Richmond High School, Richmond, VIC",
Income allocated to current capital projects,0,0,2018,52703,"Richmond High School, Richmond, VIC",
Other,0,0,2018,52703,"Richmond High School, Richmond, VIC",
Total capital expenditure,27023829,0,2018,52703,"Richmond High School, Richmond, VIC",
Australian government capital expenditure,9014,40275,2021,44693,"Kingsville Primary School, Yarraville, VIC",
State / territory government capital expenditure,35586,144936,2021,44693,"Kingsville Primary School, Yarraville, VIC",
New school loans,0,0,2021,44693,"Kingsville Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2021,44693,"Kingsville Primary School, Yarraville, VIC",
Other,0,33150,2021,44693,"Kingsville Primary School, Yarraville, VIC",
Total capital expenditure,44600,218361,2021,44693,"Kingsville Primary School, Yarraville, VIC",
Australian government capital expenditure,10903,43803,2015,45517,"Fitzroy High School, Fitzroy North, VIC",
State / territory government capital expenditure,14433,59854,2015,45517,"Fitzroy High School, Fitzroy North, VIC",
New school loans,0,0,2015,45517,"Fitzroy High School, Fitzroy North, VIC",
Income allocated to current capital projects,0,0,2015,45517,"Fitzroy High School, Fitzroy North, VIC",
Other,0,21981,2015,45517,"Fitzroy High School, Fitzroy North, VIC",
Total capital expenditure,25336,125638,2015,45517,"Fitzroy High School, Fitzroy North, VIC",
Australian government capital expenditure,185797,567256,2020,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,758870,1926831,2020,45475,"University High School, Parkville, VIC",
New school loans,0,0,2020,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2020,45475,"University High School, Parkville, VIC",
Other,120881,238602,2020,45475,"University High School, Parkville, VIC",
Total capital expenditure,1065548,2732689,2020,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,18739,45906,2014,45517,"Fitzroy High School, Fitzroy North, VIC",
State / territory government capital expenditure,21351,79402,2014,45517,"Fitzroy High School, Fitzroy North, VIC",
New school loans,0,0,2014,45517,"Fitzroy High School, Fitzroy North, VIC",
Income allocated to current capital projects,0,0,2014,45517,"Fitzroy High School, Fitzroy North, VIC",
Other,11354,21981,2014,45517,"Fitzroy High School, Fitzroy North, VIC",
Total capital expenditure,51444,147290,2014,45517,"Fitzroy High School, Fitzroy North, VIC",
Australian government capital expenditure,995393,1350554,2021,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,3929637,5218242,2021,45475,"University High School, Parkville, VIC",
New school loans,0,0,2021,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2021,45475,"University High School, Parkville, VIC",
Other,186439,400803,2021,45475,"University High School, Parkville, VIC",
Total capital expenditure,5111469,6969599,2021,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,4254117,5145222,2022,45375,"Mount Alexander 7-12 College, Flemington, VIC",
State / territory government capital expenditure,16329043,19893615,2022,45375,"Mount Alexander 7-12 College, Flemington, VIC",
New school loans,0,0,2022,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Income allocated to current capital projects,0,0,2022,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Other,7800,112865,2022,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Total capital expenditure,20590960,25151702,2022,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Australian government capital expenditure,12098,48346,2020,44693,"Kingsville Primary School, Yarraville, VIC",
State / territory government capital expenditure,49412,160763,2020,44693,"Kingsville Primary School, Yarraville, VIC",
New school loans,0,0,2020,44693,"Kingsville Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2020,44693,"Kingsville Primary School, Yarraville, VIC",
Other,33150,49920,2020,44693,"Kingsville Primary School, Yarraville, VIC",
Total capital expenditure,94660,259029,2020,44693,"Kingsville Primary School, Yarraville, VIC",
Australian government capital expenditure,66448,0,2023,44470,"St Kilda Park Primary School, St Kilda, VIC","120,181"
State / territory government capital expenditure,290171,0,2023,44470,"St Kilda Park Primary School, St Kilda, VIC","501,345"
New school loans,0,0,2023,44470,"St Kilda Park Primary School, St Kilda, VIC",0
Income allocated to current capital projects,0,0,2023,44470,"St Kilda Park Primary School, St Kilda, VIC",0
Other,0,0,2023,44470,"St Kilda Park Primary School, St Kilda, VIC","21,669"
Total capital expenditure,356619,0,2023,44470,"St Kilda Park Primary School, St Kilda, VIC","643,195"
Australian government capital expenditure,309243,0,2019,52703,"Richmond High School, Richmond, VIC",
State / territory government capital expenditure,967248,0,2019,52703,"Richmond High School, Richmond, VIC",
New school loans,0,0,2019,52703,"Richmond High School, Richmond, VIC",
Income allocated to current capital projects,0,0,2019,52703,"Richmond High School, Richmond, VIC",
Other,0,0,2019,52703,"Richmond High School, Richmond, VIC",
Total capital expenditure,1276491,0,2019,52703,"Richmond High School, Richmond, VIC",
Australian government capital expenditure,347516,0,2019,52698,"Prahran High School, Windsor, VIC",
State / territory government capital expenditure,1086957,0,2019,52698,"Prahran High School, Windsor, VIC",
New school loans,0,0,2019,52698,"Prahran High School, Windsor, VIC",
Income allocated to current capital projects,0,0,2019,52698,"Prahran High School, Windsor, VIC",
Other,0,0,2019,52698,"Prahran High School, Windsor, VIC",
Total capital expenditure,1434473,0,2019,52698,"Prahran High School, Windsor, VIC",
Australian government capital expenditure,6748443,0,2020,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
State / territory government capital expenditure,27563309,0,2020,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
New school loans,0,0,2020,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Income allocated to current capital projects,0,0,2020,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Other,0,0,2020,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Total capital expenditure,34311752,0,2020,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC",
Australian government capital expenditure,103292,921277,2020,45538,"Bayside P-12 College, Williamstown, VIC",
State / territory government capital expenditure,421885,2780327,2020,45538,"Bayside P-12 College, Williamstown, VIC",
New school loans,0,0,2020,45538,"Bayside P-12 College, Williamstown, VIC",
Income allocated to current capital projects,0,0,2020,45538,"Bayside P-12 College, Williamstown, VIC",
Other,10750,87461,2020,45538,"Bayside P-12 College, Williamstown, VIC",
Total capital expenditure,535927,3789065,2020,45538,"Bayside P-12 College, Williamstown, VIC",
Australian government capital expenditure,1401428,0,2023,44378,"Footscray City Primary School, Footscray, VIC","1,638,571"
State / territory government capital expenditure,6119925,0,2023,44378,"Footscray City Primary School, Footscray, VIC","7,032,947"
New school loans,0,0,2023,44378,"Footscray City Primary School, Footscray, VIC",0
Income allocated to current capital projects,0,0,2023,44378,"Footscray City Primary School, Footscray, VIC",0
Other,24780,0,2023,44378,"Footscray City Primary School, Footscray, VIC","24,780"
Total capital expenditure,7546133,0,2023,44378,"Footscray City Primary School, Footscray, VIC","8,696,298"
Australian government capital expenditure,115595,1025692,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
State / territory government capital expenditure,31079,162672,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
New school loans,0,0,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Income allocated to current capital projects,0,0,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Other,25245,72818,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Total capital expenditure,171919,1261182,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC",
Australian government capital expenditure,11160,363312,2020,44634,"Spotswood Primary School, Spotswood, VIC",
State / territory government capital expenditure,45582,1130993,2020,44634,"Spotswood Primary School, Spotswood, VIC",
New school loans,0,0,2020,44634,"Spotswood Primary School, Spotswood, VIC",
Income allocated to current capital projects,0,0,2020,44634,"Spotswood Primary School, Spotswood, VIC",
Other,6940,6940,2020,44634,"Spotswood Primary School, Spotswood, VIC",
Total capital expenditure,63682,1501245,2020,44634,"Spotswood Primary School, Spotswood, VIC",
Australian government capital expenditure,186005,301737,2020,44919,"Altona North Primary School, Altona North, VIC",
State / territory government capital expenditure,759720,1110624,2020,44919,"Altona North Primary School, Altona North, VIC",
New school loans,0,0,2020,44919,"Altona North Primary School, Altona North, VIC",
Income allocated to current capital projects,0,0,2020,44919,"Altona North Primary School, Altona North, VIC",
Other,8060,8060,2020,44919,"Altona North Primary School, Altona North, VIC",
Total capital expenditure,953785,1420421,2020,44919,"Altona North Primary School, Altona North, VIC",
